abstraction	entity
double	substitute, relief, reliever, backup
stumbler, tripper	pedestrian, walker, footer
stupid, stupe, dullard, dolt, pillock	simpleton, simple
stylist	artist
stylite	abstainer, ascetic
subcontractor	contractor
subdeacon	clergyman, reverend, Order
subdivider	divider
subduer, surmounter, overcomer	restrainer, controller
subject, case	person, individual, someone, somebody, mortal, soul
subjectivist	intellectual, intellect
subjugator	conqueror, vanquisher
sublieutenant	lieutenant
submariner	bluejacket, sailor
submitter	applicant, applier
submitter	follower
subnormal	simpleton, simple
subordinate, subsidiary, underling	assistant, helper, help, supporter
subscriber, contributor	donor, giver, presenter, bestower, conferrer
subscriber, reader	customer, client
subscriber, endorser, indorser, ratifier	supporter, protagonist, champion, admirer, booster, friend
subsidizer, subsidiser	donor, giver, presenter, bestower, conferrer
substitute, reserve	athlete, jock
subtracter	calculator, reckoner, figurer, estimator, computer
suburbanite	resident, occupant, occupier
subvocalizer, subvocaliser	articulator
successor, heir	offspring, progeny, issue
successor, replacement	peer, equal, match, compeer
succorer, succourer	rescuer, recoverer, saver
sucker	drinker
suer, petitioner	plaintiff, complainant
Sufi	Muslim, Moslem
suffragan	bishop
suffragette	feminist, libber, suffragist
suffragist	advocate, advocator, proponent, exponent
suggester, proposer	originator, conceiver, mastermind
suicide	killer, slayer
suit	businessman
suitor, suer, wooer	admirer, adorer
sultan	ruler, swayer
Sumerian	Babylonian
summercaters	vacationer, vacationist
sun	personage
sunbather	idler, loafer, layabout, bum
sundowner	vagrant, drifter, floater, vagabond
supercargo	officer
supergrass, grass	informer, betrayer, rat, squealer, blabber
superintendent, super	caretaker
superior	religious
superior, superordinate	leader
supermarketer, supermarketeer	operator
supermodel	mannequin, manikin, mannikin, manakin, model
supermom	mother
supernumerary, extra	actor, histrion, player, thespian
supernumerary	person, individual, someone, somebody, mortal, soul
supervisor	superior, superordinate
supplier, provider	businessperson, bourgeois
supporter, protagonist, champion, admirer, booster, friend	advocate, advocator, proponent, exponent
suppressor, suppresser	restrainer, controller
supremacist	advocate, advocator, proponent, exponent
suprematist	abstractionist
surfer, surfboarder	swimmer, natator, bather
surgeon, sawbones	doctor, doc, physician, MD, medico
surpriser	captor, capturer
surrealist	artist
surrenderer, yielder	person, individual, someone, somebody, mortal, soul
surrogate, alternate, replacement	substitute, relief, reliever, backup
surveyor	engineer, technologist
surveyor	statistician, actuary
survivalist	person, individual, someone, somebody, mortal, soul
survivor	person, individual, someone, somebody, mortal, soul
survivor, subsister	unfortunate
suspect	person, individual, someone, somebody, mortal, soul
sutler, victualer, victualler, provisioner	supplier, provider
Svengali	persuader, inducer
swaggerer	pedestrian, walker, footer
swagman, swagger, swaggie	itinerant, gypsy, gipsy
swearer	communicator
swearer	blasphemer
sweeper	employee
sweetheart, sweetie, steady, truelove	lover
swimmer, natator, bather	traveler, traveller
swimmer	athlete, jock
swineherd, pigman	herder, herdsman, drover
swinger, tramp	libertine, debauchee, rounder
swinger	athlete, jock
switcher, whipper	oppressor
switchman	operator, manipulator
swot, grind, nerd, wonk, dweeb	learner, scholar, assimilator
sycophant, toady, crawler, lackey	flatterer, adulator
syllogist, syllogizer, syllogiser	logician, logistician
sylph	woman
sylvan, silvan	spirit
symbolist	artist
symbolist, symbolizer, symboliser	interpreter, translator
sympathizer, sympathiser	supporter, protagonist, champion, admirer, booster, friend
sympathizer, sympathiser, comforter	communicator
symphonist	composer
symposiast	attendant, attender, attendee, meeter
syncopator	jazzman
syndic	agent, factor, broker
syndicator	businessman
synonymist	lexicographer, lexicologist
synthesist, synthesizer, synthesiser	intellectual, intellect
syphilitic	sufferer
tablemate	diner
tacker	worker
tackle	lineman
tackler	footballer
tactician	planner, contriver, deviser
Tagalog	Filipino
tagalong	follower
tagger	person, individual, someone, somebody, mortal, soul
tagger	person, individual, someone, somebody, mortal, soul
tail, shadow, shadower	follower, spy
tailback	back
tailgater	driver
tailor, seamster, sartor	garmentmaker
taker	customer, client
talent	expert
tallyman	clerk
tallyman	roadman, bagman
tamer	handler
tanker	soldier
tanner	craftsman, artisan, journeyman, artificer
tantalizer, tantaliser	tormentor, tormenter, persecutor
taoiseach	chancellor, premier
tapper	dancer, terpsichorean
tapper, wiretapper	eavesdropper
tapper	worker
tapper	person, individual, someone, somebody, mortal, soul
tapster, tapper	publican
Tartuffe, Tartufe	hypocrite, dissembler, dissimulator, phony, phoney, pretender
Tarzan	man
taskmaster	supervisor
taskmistress	taskmaster
taster, sampler	critic
tattletale, tattler, taleteller, talebearer, telltale, blabbermouth	gossip, gossiper, gossipmonger, rumormonger, rumourmonger, newsmonger
assessor	bureaucrat
taxman, exciseman	bureaucrat
taxer	bureaucrat
taxidermist, stuffer	craftsman, artisan, journeyman, artificer
taxidriver, taximan, cabdriver, cabman, cabby	driver
taxonomist, taxonomer, systematist	biologist
taxpayer	payer, remunerator
teacher, instructor	educator, pedagogue, pedagog
teammate, mate	associate
teamster, trucker	driver
teamster	driver
tearaway	daredevil, madcap, hothead, swashbuckler, lunatic
teaser	worker
techie, tekki	technician
technician	expert
technocrat	politician, politico, pol
technocrat	expert
technophile	fancier, enthusiast
technophobe	naysayer
teetotaler, teetotaller, teetotalist	abstainer, abstinent, nondrinker
telecaster	broadcaster
telegrapher, telegraphist	operator, manipulator
teleologist	advocate, advocator, proponent, exponent
telepathist	communicator
telephonist	operator, manipulator
televangelist	evangelist, revivalist, gospeler, gospeller
teller, cashier	banker
teller	official, functionary
tellurian, earthling, earthman, worldling	inhabitant, habitant, dweller, denizen, indweller
temp, temporary	worker
temporizer, temporiser	delayer
tempter	person, individual, someone, somebody, mortal, soul
toiler	worker
tenant, renter	payer, remunerator
tenant	resident, occupant, occupier
tenant	holder
tenderfoot	novice, beginner, tyro, tiro, initiate
tenor	singer, vocalist, vocalizer, vocaliser
tenorist	saxophonist, saxist
tentmaker	maker, shaper
termer	person, individual, someone, somebody, mortal, soul
territorial	soldier
terror, brat	imp, scamp, monkey, rascal, rapscallion, scalawag, scallywag
terror, scourge, threat	person, individual, someone, somebody, mortal, soul
terrorist	radical
tertigravida	gravida
testator, testate	person, individual, someone, somebody, mortal, soul
testatrix	testator, testate
testee, examinee	respondent, responder, answerer
testifier, deponent, deposer	witness, witnesser, informant
Teutonist	specialist, specializer, specialiser
Ranger	lawman
thane	citizen
thane	Lord, noble, nobleman
thatcher	roofer
Thatcherite	advocate, advocator, proponent, exponent
theologian, theologist, theologizer, theologiser	scholar, bookman, student
theorist, theoretician, theorizer, theoriser, idealogue	intellectual, intellect
theosophist	believer, worshiper, worshipper
therapist, healer	expert
Thessalian	Greek, Hellene
Thessalonian	Greek, Hellene
thief, stealer	criminal, felon, crook, outlaw, malefactor
thinker, mind	intellectual, intellect
thinker	intellectual, intellect
scrag	person, individual, someone, somebody, mortal, soul
thoroughbred	adult, grownup
thrower	person, individual, someone, somebody, mortal, soul
throwster, thrower	worker
thrush	singer, vocalist, vocalizer, vocaliser
thunderbird	spirit
thurifer	acolyte
tier	worker
tier	rival, challenger, competitor, competition, contender
tiger	person, individual, someone, somebody, mortal, soul
tiler	worker
tiller	farmer, husbandman, granger, sodbuster
tilter	rival, challenger, competitor, competition, contender
timberman	owner, proprietor
timekeeper	clerk
timekeeper, timer	official
timeserver	opportunist
Timorese	Asian, Asiatic
tinker	itinerant, gypsy, gipsy
tinker, tinkerer	experimenter
tinsmith, tinner	smith
tinter	hairdresser, hairstylist, stylist, styler
tipper	donor, giver, presenter, bestower, conferrer
tippler	drinker, imbiber, toper, juicer
tipster, tout	adviser, advisor, consultant
tither	payer, remunerator
titterer, giggler	laugher
toast	celebrity
toaster, wassailer	supporter, protagonist, champion, admirer, booster, friend
toastmaster, symposiarch	emcee, host
tobacconist	shopkeeper, tradesman, storekeeper
tobogganist	sledder
toddler, yearling, tot, bambino	child, kid, youngster, minor, shaver, nipper, tiddler, tike, tyke, fry, nestling
tollkeeper, tollman, tollgatherer, toller	employee
toller, ringer	signaler, signaller
tomboy, romp, hoyden	girl, miss, missy, fille
toolmaker	maker, shaper
topper	worker
topper	worker
torchbearer	leader
tormentor, tormenter, persecutor	oppressor
tortfeasor	party
torturer	oppressor
Tory	American
Tory	rightist
Tory	Englishman
tosser	thrower
tosser, wanker	masturbator, onanist
totalitarian	disciple, adherent
totemist	person, individual, someone, somebody, mortal, soul
toucher	person, individual, someone, somebody, mortal, soul
tourist, tourer, holidaymaker	traveler, traveller
tout, touter	advertiser, advertizer, adman
tout	scalper
tovarich, tovarisch	companion, comrade, fellow, familiar, associate
towhead	blond, blonde
crier	announcer
townsman, towner	resident, occupant, occupier
townee	townsman, towner
townie, towny	townsman, towner
townsman	peer, equal, match, compeer
tracer	detective, investigator, tec
tracker	hunter, huntsman
Tractarian	Christian
trader, bargainer, dealer, monger	merchant, merchandiser
unionist	worker
traditionalist, diehard	conservative, conservativist
dealer	seller, marketer, vender, vendor, trafficker
tragedian	actor, histrion, player, thespian
tragedian	writer, author
tragedienne	actress
trailblazer	scout, pathfinder, guide
trainbandsman	militiaman
trainbearer	attendant, attender, tender
trainee	novice, beginner, tyro, tiro, initiate
trainer	leader
trainman, railroader, railwayman	employee
traitor, treasonist	criminal, felon, crook, outlaw, malefactor
traitress	traitor, treasonist
tramp, hobo, bum	vagrant, drifter, floater, vagabond
transactor	businessman
transalpine	foreigner, outsider
transcendentalist	philosopher
transcriber	writer
transcriber	phonetician
transcriber	writer
transfer, transferee	person, individual, someone, somebody, mortal, soul
transferee	recipient, receiver
transferer, transferrer	mover
transferor	transferer, transferrer
transient	traveler, traveller
translator, transcriber	linguist, polyglot
transmigrante	Latino, peddler, pedlar, packman, hawker, pitchman
transplanter	gardener, nurseryman
transsexual, transexual	person, individual, someone, somebody, mortal, soul
transsexual, transexual	anomaly
transvestite	person, individual, someone, somebody, mortal, soul
trapper	hunter, huntsman
Trappist, Cistercian	monk, monastic
trapshooter	shot, shooter
roadman, bagman	salesman, spokesperson, interpreter, representative, voice
traverser	mover
trawler	fisherman, fisher
arborist	specialist, specializer, specialiser
trekker	traveler, traveller
trencher	digger
tribesman	member
tribune	defender, guardian, protector, shielder
trier, attempter, essayer	person, individual, someone, somebody, mortal, soul
trier	judge, justice, jurist
trifler	idler, loafer, layabout, bum
trigonometrician	mathematician
Trinidadian	inhabitant, habitant, dweller, denizen, indweller
triplet	sibling, sib
tripper	user
triumvir	administrator, executive
trombonist	musician, instrumentalist, player
trooper	policeman, officer
trooper	policeman, officer
Trotskyite, Trotskyist, Trot	radical
troubleshooter	repairman
truant	absentee
trudger, plodder, slogger	pedestrian, walker, footer
trumpeter, cornetist	musician, instrumentalist, player
trustbuster	agent
trustee	fiduciary
trusty	convict, con, inmate, yardbird
tucker	sewer
Tudor	ruler, swayer
tumbler	gymnast
turncock	employee
turner	person, individual, someone, somebody, mortal, soul
turner	tumbler
tutee	learner, scholar, assimilator
twaddler	communicator
twerp, twirp, twit	simpleton, simple
twiddler, fiddler	manipulator
twin	sibling, sib
twiner	worker
tympanist, timpanist	drummer
typist	employee
tyrant, autocrat, despot	dictator, potentate
tyrant	person, individual, someone, somebody, mortal, soul
tyrant	ruler, swayer
umpire, ump	official
uncle	kinsman
uncle	benefactor, helper
underachiever, underperformer, nonachiever	student, pupil, educatee
undergraduate, undergrad	collegian
undersecretary	secretary
underseller	seller, marketer, vender, vendor, trafficker
understudy, standby	actor, histrion, player, thespian
undoer, opener, unfastener, untier	person, individual, someone, somebody, mortal, soul
undoer	seducer
unicyclist	pedaler, pedaller
unilateralist	advocate, advocator, proponent, exponent
Unitarian	disciple, adherent
Trinitarian	disciple, adherent
Arminian	disciple, adherent
untouchable, Harijan	outcast, castaway, pariah, Ishmael
upbraider, reprover, reproacher, rebuker	authority
upholder, maintainer, sustainer	supporter, protagonist, champion, admirer, booster, friend
upholsterer	craftsman, artisan, journeyman, artificer
upsetter	winner, victor
upstager	actor, histrion, player, thespian
urchin	child, kid, youngster, minor, shaver, nipper, tiddler, tike, tyke, fry, nestling
urologist	specialist
user	person, individual, someone, somebody, mortal, soul
usher, guide	escort
usherette	usher, guide
usher, doorkeeper	official, functionary
usufructuary	user
usurer, moneylender, shylock	lender, loaner, shark
usurper, supplanter	wrongdoer, offender
utilitarian	moralist
utilizer, utiliser	user
Utopian	reformer, reformist, crusader, meliorist
utterer	deceiver, cheat, cheater, trickster, beguiler, slicker
utterer, vocalizer, vocaliser	organism, being
uxor	wife
uxoricide	husband, hubby
vacationer, vacationist	nonworker
vaccinee	patient
vagrant, drifter, floater, vagabond	wanderer, roamer, rover
Vaisya	Hindu, Hindoo, Hindustani
valedictorian	scholar, bookman, student
valentine	sweetheart, sweetie, steady, truelove
valet, gentleman, man	manservant
valetudinarian	sufferer
valuer	appraiser, valuator
vandal	destroyer, ruiner, undoer, waster, uprooter
Vandal	savage, barbarian
vanisher	person, individual, someone, somebody, mortal, soul
varnisher	finisher
vassal, liege, liegeman, feudatory	follower
vaudevillian	performer
vaulter	athlete, jock
vegetarian	eater, feeder
Vedist	scholar, bookman, student
vegan	vegetarian
venerator	admirer
venter	speaker, talker, utterer, verbalizer, verbaliser
ventriloquist	performer
venturer	merchant, merchandiser
verger	caretaker
VIP, dignitary, panjandrum	personage
vestal	woman
veteran, oldtimer, warhorse, stager	expert
veteran, vet	serviceman, man
veteran	serviceman, man
veterinarian, veterinary, vet	doctor, doc, physician, MD, medico
vibist, vibraphonist	musician, instrumentalist, player
vicar	priest
vicar	clergyman, reverend
vicar	clergyman, reverend
vicegerent	deputy, surrogate
viceroy, vicereine	governor
vicereine	wife
victim	unfortunate
victim, dupe	person, individual, someone, somebody, mortal, soul
victor, master, superior	combatant, battler, belligerent, fighter, scrapper
Victorian	person, individual, someone, somebody, mortal, soul
victualer, victualler	host, innkeeper, boniface
vigilante	volunteer
villager	inhabitant, habitant, dweller, denizen, indweller
villain, baddie	character, role, part, persona
villainess	villain, scoundrel
vintager	harvester, reaper
vintner, winemaker	maker, shaper
vintner	merchant, merchandiser
violator, debaucher, ravisher	libertine, debauchee, rounder
violator, lawbreaker	criminal, felon, crook, outlaw, malefactor
violinist, fiddler	musician, instrumentalist, player
violist	musician, instrumentalist, player
virago	shrew, termagant
virgin	innocent
virologist	microbiologist
virtuoso	musician
Visayan, Bisayan	Filipino
viscount	peer
viscountess	peer
viscountess	wife
viscount	Lord, noble, nobleman
Visigoth	Goth
visionary, illusionist, seer	intellectual, intellect
visionary	person, individual, someone, somebody, mortal, soul
visitor, visitant	traveler, traveller
visualizer, visualiser	perceiver, percipient, observer, beholder
vitalist	believer, truster
viticulturist	agriculturist, agriculturalist, cultivator, grower, raiser
vivisectionist	biologist
vizier	official, functionary
vociferator	speaker, talker, utterer, verbalizer, verbaliser
voice	singer, vocalist, vocalizer, vocaliser
voicer	speaker, talker, utterer, verbalizer, verbaliser
volunteer	worker
volunteer, voluntary	serviceman, man
voluptuary, sybarite	sensualist
vomiter, spewer	sufferer
votary	disciple, adherent
votary	priest
votary	religious
voter, elector	citizen
vouchee	party
voucher, verifier	supporter, protagonist, champion, admirer, booster, friend
vower	promiser, promisor
voyager	traveler, traveller
voyeur, peeper	spectator, witness, viewer, watcher, looker
vulgarizer, vulgariser	debaser, degrader
Wac	soldier, woman
waddler	pedestrian, walker, footer
waffler	communicator
wag, wit, card	humorist, humourist
Wagnerian	follower
wagoner, waggoner	driver
wagonwright, waggonwright, wainwright	wright
Wahhabi, Wahabi	Muslim, Moslem
waif	child, kid, youngster, minor, shaver, nipper, tiddler, tike, tyke, fry, nestling
wailer	mourner, griever, sorrower, lamenter, speaker, talker, utterer, verbalizer, verbaliser
waitress	waiter, server
waiter	person, individual, someone, somebody, mortal, soul
waker	person, individual, someone, somebody, mortal, soul
waker, rouser, arouser	attendant, attender, tender
wallah	worker
walloper	winner, victor
walloper	hitter, striker
wally	fool, sap, saphead, muggins, tomfool
waltzer	dancer
wanderer, roamer, rover	traveler, traveller
wanter, needer	person, individual, someone, somebody, mortal, soul
wanton	sensualist
warbler	singer, vocalist, vocalizer, vocaliser
ward	person, individual, someone, somebody, mortal, soul
warden	lawman
warder	lawman
wardress	warder
warehouser, warehouseman	workman, workingman
warlock	witch
warner	communicator
warrantee	customer, client
warrantee	recipient, receiver
warrener	gamekeeper
warrior	person, individual, someone, somebody, mortal, soul
washer	worker
washerman, laundryman	washer
washwoman, washerwoman, laundrywoman, laundress	washer
wassailer, carouser	drinker, imbiber, toper, juicer
wastrel, waster	prodigal, profligate, squanderer
watchdog	defender, guardian, protector, shielder
watcher	person, individual, someone, somebody, mortal, soul
watchmaker, horologist, horologer	maker, shaper
watchman, watcher	guard
waterer	assistant, helper, help, supporter
watercolorist, watercolourist	painter
waterer	farmhand, fieldhand
dowser, rhabdomancer	diviner
Wave	reservist, woman
waver	communicator
wayfarer, journeyer	traveler, traveller
wayfarer	pedestrian, walker, footer
weakling, doormat, wuss	person, individual, someone, somebody, mortal, soul
wearer	user
weasel	person, individual, someone, somebody, mortal, soul
weatherman	meteorologist
weaver	craftsman, artisan, journeyman, artificer
webmaster	technician
weekender	vacationer, vacationist
weeder	farmhand, fieldhand
weeper	mourner, griever, sorrower, lamenter
weeper, crier	unfortunate
weigher	official, functionary
weightlifter, lifter	athlete, jock
welcher, welsher	swindler, defrauder, chiseller, chiseler, gouger, scammer, grifter
welder	craftsman, artisan, journeyman, artificer
welterweight	prizefighter, gladiator
welterweight	wrestler, grappler, matman
welterweight	boxer, pugilist
wencher	adulterer, fornicator
westerner	inhabitant, habitant, dweller, denizen, indweller
wetnurse, amah	nanny, nursemaid, nurse
wetter	workman, workingman
whaler	mariner, seaman, tar, Jack, seafarer, gob
wheedler, coaxer	persuader, inducer
wheeler	marcher, parader
wheelwright, wheeler	wright
whiffer	batter, hitter, slugger, batsman
Whig	politician, politico, pol
Whig	supporter, protagonist, champion, admirer, booster, friend
Whig	Englishman, liberal, liberalist, progressive
whip	legislator
whippersnapper, jackanapes, lightweight	cipher, cypher, nobody, nonentity
whirler	dervish
whisperer	speaker, talker, utterer, verbalizer, verbaliser
whistleblower	informant, source
whistler	signaler, signaller
whiteface	clown, buffoon, goof, goofball
Carmelite	friar, mendicant
Dominican, Blackfriar	friar, mendicant
Franciscan	friar, mendicant
Augustinian	friar, mendicant
whittler	idler, loafer, layabout, bum
whoremaster, whoremonger	pimp, procurer, panderer, pander, pandar, ponce
whoremaster, whoremonger, john, trick	customer, client
Wiccan, witch	pagan
widow	woman
widower, widowman	man
wife	spouse, partner, mate, woman
wiggler, wriggler, squirmer	person, individual, someone, somebody, mortal, soul
wigmaker	maker, shaper
wildcatter	oilman
wimp, chicken, crybaby	weakling, doormat, wuss
winder	worker
wingback	back
winger	athlete, jock
wingman	pilot
winner	gambler
winner, victor	contestant
winker	person, individual, someone, somebody, mortal, soul
wiper	worker
wirer	communicator
wiseacre, wisenheimer, weisenheimer	upstart
junior	upstart, parvenu, arriviste
withdrawer	depositor
withdrawer	student, pupil, educatee
withdrawer	contestant
withdrawer	junkie, junky
withdrawer	individualist
withdrawer	authority
withholder	restrainer, controller
withholder	person, individual, someone, somebody, mortal, soul
withstander	adversary, antagonist, opponent, opposer, resister
witness, witnesser, informant	perceiver, percipient, observer, beholder, speaker, talker, utterer, verbalizer, verbaliser
witness, attestant, attestor, attestator	signer, signatory
witness	person, individual, someone, somebody, mortal, soul
wittol	cuckold
Wobbly	radical
wolf, masher	womanizer, womaniser, philanderer
woman	adult, grownup, female
woman	female
womanizer, womaniser, philanderer	libertine, debauchee, rounder, man
wonderer, marveller	admirer
wonderer	intellectual, intellect
woodcarver, carver	woodworker, woodsman, woodman
woodcutter	laborer, labourer, jack
woodworker, woodsman, woodman	craftsman, artisan, journeyman, artificer
woodsman, woodman	rustic
woolsorter	grader
wordmonger	writer, author
wordsmith	writer, author
workaholic	compulsive
workman, workingman	employee
workmate	worker
worldling	person, individual, someone, somebody, mortal, soul
worrier, fusspot, worrywart	spoilsport, killjoy
worshiper, worshipper	admirer, adorer
worthy	personage
wrangler	debater, arguer
wrecker	laborer, labourer, jack
wrester	puller
wrestler, grappler, matman	combatant, battler, belligerent, fighter, scrapper
wretch	reprobate, miscreant
wright	craftsman, artisan, journeyman, artificer
writer, author	communicator
writer	literate
Wykehamist	student, pupil, educatee
xylophonist	percussionist
yakuza	gangster, mobster
yachtsman, yachtswoman	sailor, crewman
yanker, jerker	puller
Yankee, Yank, Northerner	American
yardbird	recruit
yardie	gangster, mobster
yardman	laborer, labourer, jack
yardman	trainman, railroader, railwayman
yardmaster, trainmaster	dispatcher, trainman, railroader, railwayman
yawner	person, individual, someone, somebody, mortal, soul
yenta	gossip, gossiper, gossipmonger, rumormonger, rumourmonger, newsmonger
yenta	shrew, termagant
yeoman	freeholder
yeoman, beefeater	bodyguard, escort
yodeller	singer, vocalist, vocalizer, vocaliser
yogi	philosopher
yokel, rube, hick, yahoo, hayseed, bumpkin, chawbacon	rustic
youth, younker	juvenile
yuppie	professional
zany	clown, buffoon, goof, goofball
Zealot	Jew, Hebrew, Israelite
Zionist	Jew, Hebrew, Israelite
zombi, zombie	deceased, decedent, departed
zombi, zombie	deity, divinity, god, immortal
zombi, zombie	spirit
zoologist	biologist
Blucher	general
Coue	psychotherapist
Cyril	missionary
Gray	radiobiologist
Indiana	artist
Kennan	diplomat, diplomatist
Pilate	procurator
Polycarp	martyr
Popper	philosopher
Potemkin, Potyokin	officer, politician, politico, pol
Town	architect, designer
Townes	physicist
Uriah	soldier
levitation	phenomenon
metempsychosis, rebirth	phenomenon
photoemission	emission
efflorescence, bloom	crystallization, crystallisation, crystallizing
consequence, effect, outcome, result, event, issue, upshot	phenomenon
aftereffect	consequence, effect, outcome, result, event, issue, upshot
aftermath, wake, backwash	consequence, effect, outcome, result, event, issue, upshot
brisance	consequence, effect, outcome, result, event, issue, upshot
byproduct	consequence, effect, outcome, result, event, issue, upshot
change	consequence, effect, outcome, result, event, issue, upshot
dent	consequence, effect, outcome, result, event, issue, upshot
harvest	consequence, effect, outcome, result, event, issue, upshot
impact, wallop	consequence, effect, outcome, result, event, issue, upshot
influence	consequence, effect, outcome, result, event, issue, upshot
perturbation	influence
variation	perturbation
purchase	influence
wind	influence
outgrowth, branch, offshoot, offset	consequence, effect, outcome, result, event, issue, upshot
product	consequence, effect, outcome, result, event, issue, upshot
repercussion, reverberation	consequence, effect, outcome, result, event, issue, upshot
response	consequence, effect, outcome, result, event, issue, upshot
reaction	response
fallout	consequence, effect, outcome, result, event, issue, upshot
engine	cause
luck, fortune, chance, hazard	phenomenon
luck, fortune	phenomenon
spectrum	array
aerosol	cloud
affinity	force
slipstream, airstream, race, backwash, wash	flow
airstream	wind
AC	electricity
metagenesis, digenesis	heterogenesis, xenogenesis
attraction	force
affinity	attraction
repulsion	force
aureole, corona	radiance, glow, glowing
autofluorescence	fluorescence
mischance, mishap	luck, fortune, chance, hazard
beam, ray, shaft, irradiation	light
bise, bize	northerly, norther, boreas
brainwave	bioelectricity
calm	wind
breeze, zephyr, air	wind
breath	breeze, zephyr, air
pedesis	movement, motion
candlelight	light
bond	attraction
cohesion	force
chinook	wind
harmattan	wind
corona	light
corona, corposant	discharge, spark, arc
mushroom	cloud
counterglow, gegenschein	light
crosswind	wind
fohn, foehn	wind
khamsin	wind
headwind	wind
tailwind	wind
cyclone	windstorm
daylight	light
lode, load	deposit, sedimentation, alluviation
sweat	condensation, condensate
dichroism	pleochroism
DC	electricity
signal	electricity
interrupt	signal
doldrums	wind
drift, impetus, impulsion	force
duster, sandstorm, sirocco	windstorm
easter, easterly	wind
northwester	wind
southwester	wind
southeaster	wind
wattage	power
load	wattage
galvanism	electricity
electricity	energy
work	energy
epiphenomenon	byproduct
flare	reflection, reflexion
flashover	discharge, spark, arc
debacle	flood, inundation, deluge, alluvion
flashflood	flood, inundation, deluge, alluvion
floodhead	flashflood
focus	point
sunshine, temperateness	weather, conditions
firelight	light
firestorm	storm
fluorescence	light
fog	aerosol
fogbank	fog
friction, rubbing	resistance
grinding, abrasion, attrition, detrition	friction, rubbing
grip, traction	friction, rubbing
occlusion	front
gale	wind
northeaster, noreaster	storm
gaslight	light
radiance, glow, glowing	light
glow	light
fluke	luck, fortune
serendipity	fluke
gravity, gravitation	attraction
gust, blast, blow	wind
bluster	gust, blast, blow
sandblast	gust, blast, blow
hail	precipitation, downfall
hailstorm	storm
haze	aerosol
heat	energy
hurricane	cyclone
hydroelectricity	electricity
pogonip	fog
incandescence, glow	light
interreflection	reflection, reflexion
juice	current
lamplight	light
levanter	easter, easterly
biology	life
aerobiosis	life
luminescence	light
bioluminescence	luminescence
chemiluminescence	luminescence
magnetosphere	flux
flux	field
beat	oscillation, vibration
resonance	oscillation, vibration
magnetism	attraction
electromagnetism	magnetism
antiferromagnetism	magnetism
diamagnetism	magnetism
ferrimagnetism	antiferromagnetism
ferromagnetism	magnetism
paramagnetism	magnetism
ultrasound	sound
ballistics	trajectory, flight
thaw, thawing, warming	weather, conditions
mist	fog
mistral	northerly, norther, boreas
moment	force
meteor	light
bolide, fireball	meteor
monsoon	wind
monsoon	rain, rainfall, wind
moonbeam	beam, ray, shaft, irradiation
moonlight, moonshine, Moon	light
starlight	light
sunburst	sunlight, sunshine, sun
sunlight, sunshine, sun	light
sunbeam, sunray	beam, ray, shaft, irradiation
necrobiosis	death
apoptosis	necrobiosis
necrosis, mortification, gangrene, sphacelus	death
myonecrosis	necrosis, mortification, gangrene, sphacelus
parhelion, sundog	spot, speckle, dapple, patch, fleck, maculation
northerly, norther, boreas	wind
radiopacity	opacity
phosphorescence	fluorescence
photoelectricity	electricity
piezoelectricity	electricity
depolarization, depolarisation	change
dimorphism	polymorphism
dimorphism	polymorphism, pleomorphism
SNP	polymorphism
precipitation, downfall	weather, conditions
head	pressure
overpressure	pressure
IOP	pressure
propulsion	force
puff, whiff	gust, blast, blow
pull	force
push, thrust	force
reaction	force
radiation	energy
rain, rainfall	precipitation, downfall
raindrop	drop, drib, driblet
rainstorm	rain, rainfall, storm
thundershower	rainstorm
downpour, cloudburst, deluge, waterspout, torrent, pelter, soaker	rain, rainfall
drizzle, mizzle	rain, rainfall
shower	rain, rainfall
birefringence	refraction
ohmage	impedance, resistance, resistivity
drag	resistance
windage	drag
scattering, sprinkle, sprinkling	shower
scintillation	light
shear	deformation
simoom, simoon, samiel	wind
sleet	precipitation, downfall
smoke, fume	aerosol
smother	smoke, fume
snow, snowfall	precipitation, downfall
flurry	snow, snowfall
whiteout	snow, snowfall
snowflake, flake	crystal
virga	precipitation, downfall
poudrin	crystal
blizzard, snowstorm	storm
sunspot, macula	spot, speckle, dapple, patch, fleck, maculation
facula	spot, speckle, dapple, patch, fleck, maculation
facula	spot, speckle, dapple, patch, fleck, maculation
souther, southerly	wind
redshift	propagation
spillover	consequence, effect, outcome, result, event, issue, upshot
squall	wind
thermoelectricity	electricity
stress	force
tension	stress
strain	deformation
overstrain	strain
streamer	light
torchlight	light
twilight	light
supertwister	tornado, twister
suction	pressure
tempest	windstorm
thermal	wind
thunderbolt, bolt	lightning
thunderstorm	storm
tornado, twister	cyclone
torsion, torque	force
tossup	luck, fortune, chance, hazard
tramontane, tramontana	northerly, norther, boreas
trichroism	pleochroism
typhoon	cyclone
sunray	ultraviolet, UV
draft, draught	wind
updraft	draft, draught
downdraft	draft, draught
vitality	force
waterpower	power
waterspout	tornado, twister
wave	weather, conditions
elements	weather, conditions
wester	wind
westerly	wester
whirlwind	windstorm
wind	weather, conditions
windstorm	storm
pulsation	phenomenon
Plantae	kingdom
microflora	microorganism, plant, flora
crop	plant, flora
endemic	plant, flora
holophyte	plant, flora
plantlet	plant, flora
wilding	plant, flora
Thallophyta	division
thallophyte	cryptogam
peridium	covering, cover
ascoma	ascocarp
apothecium	ascocarp
